616	Ужгород	Uzsgorod=T
616	Берегово	Beregovo=T
590	Братислава	Bratiszlava=T
525	Сатумаре	Szatumare=T
429	Трансильвания	Erdély=T
390	Воронеж	Voronezs=T
347	Станислав	Sztaniszlav=T
333	Воронежской	Voronezsszkoj=T
316	Муреш	Mures=T
305	Мукачево	Mukacsevo=T
287	Новоград	Novograd=T
256	Унгвар	Ungvar=T
251	Мишкольц	Miskolyc=T
236	Клуж	Kluzs=T
234	Воронеж.	Voronezs.=T
226	Колошвар	Kolosvar=T
219	Дебрецен	Gyebrecen=T
206	Эгер	Eger=T
196	Дердь	Gyergy=T
189	Земилин	Zemilin=T
181	Братислав	Bratiszlav=T
174	Станислава	Sztaniszlava=T
170	Коломия	Kolomija=T
160	Фешр	Fesr=T
158	Новгород	Novgorod=T
151	Мукачев	Mukacsev=T
149	Мункач	Munkacs=T
146	Станиславской	Sztaniszlavszkoj=T
145	Меде	Megye=T
138	Вар	Var=T
132	Касторное	Kasztornoe=T
129	Комару	Komaru=T
129	Коломея	Kolomeja=T
127	Сотмари	Szotmari=T
122	Силади	Sziladi=T
122	Борнхольм	Bornholym=T
116	Соболь	Szoboly=T
116	Золло	Zollo=T
116	Зволен	Zvolen=T
113	Бенеш	Benes=T
111	Ке	Ke=T
109	Собочь	Szobocsy=T
107	Пейч	Pécs=T
106	Комар	Komar=T
103	Сокмар	Szokmar=T
103	Воронежск.	Voronezsszk.=T
103	Борош	Boros=T
101	Ушгород	Usgorod=T
98	Грац	Grac=T
97	Чин	Csin=T
97	Курской	Kurszkoj=T
94	Дона	Dona=T
91	Землин	Zemlin=T
90	Берлина	Berlina=T
86	Серенч	Szerencs=T
85	Бекши	Beksi=T
82	Пешт Меде	Pest_Megye=T
82	Боронь	Borony=T
81	Потонь	Potony=T
80	Пошт	Post=T
78	Коморо	Komoro=T
77	Станислав.	Sztaniszlav.=T
77	Комаров	Komarov=T
75	Гер	Ger=T
74	Селадь	Szelagy=T
74	Кур	Kur=T
74	Воронежа	Voronezsa=T
73	Салаш	Szalas=T
72	Хунидора	Hunidora=T
71	Эгри	Egri=T
71	Вигор	Vigor=T
69	Боршу	Borsu=T
66	Яснодькунсолнок	Jásznogykunszolnok=T
66	Собольш	Szobolys=T
66	Собач	Szobacs=T
66	Марамуреш	Maramures=T
65	Шарвар	Sarvar=T
65	Воош	Voos=T
65	Берексас	Berekszasz=T
65	Бая	Baja=T
64	Мункачево	Munkacsevo=T
63	Печ	Pecs=T
63	Закарпат	Zakarpat=T
62	Клуш	Klus=T
62	Земилен	Zemilen=T
62	Закарпатской	Zakarpatszkoj=T
62	Берексаз	Berekszaz=T
61	Хуст	Huszt=T
61	Сотмарского	Szotmarszkogo=T
61	Соб	Szob=T
61	Будапештской	Budapestszkoj=T
61	Буда	Buda=T
60	Чип	Csip=T
60	Фетр	Fetr=T
60	Борони	Boroni=T
59	Чопад	Csopad=T
59	Рожнев	Rozsnev=T
59	Золла	Zolla=T
59	Береговской	Beregovszkoj=T
58	Мадяр	Magyar=T
58	Боршоут	Borsout=T
57	Тешт	Test=T
57	Бикор	Bikor=T
56	Чапад	Csapad=T
56	Пешт-Меди	Pest-Medi=T
56	Золя	Zolja=T
56	Вац	Vac=T
56	Багор	Bagor=T
55	Чиквар	Csikvar=T
54	Северин	Szeverin=T
54	Монор	Monor=T
53	Фогир	Fogir=T
53	Кечкемет	Kecskemet=T
53	Дубно	Dubno=T
53	Алба	Alba=T
51	Уюча	Uyucsa=T
51	Карпат	Karpat=T
51	Банат	Banat=T
50	Тейчу	Técsu=T
50	Сат-Мар	Szat-Mar=T
50	Брно	Brno=T
49	Зомбор	Zombor=T
48	Чоп	Csop=T
48	Фенр	Fenr=T
48	Толко	Tolko=T
48	Сомеш	Szomes=T
48	Зирц	Zirc=T
48	Дендеш	Gyengyes=T
47	Ханду	Handu=T
47	Сексард	Szekszard=T
47	Сату-Мари	Szatu-Mari=T
47	Ворон.	Voron.=T
46	Санок	Szanok=T
46	Молдава	Moldava=T
46	Золё	Zolo=T
46	Дюло	Gyulo=T
44	Чиксереда	Csikszereda=T
44	Бегор	Begor=T
44	Баршхонд	Barshond=T
43	Хунедора	Hunedora=T
43	Фенер	Fener=T
43	Капошвар	Kaposvar=T
42	Фешер	Feser=T
42	Севлюш	Szevlyus=T
42	Дюла	Gyula=T
42	Говеш	Goves=T
42	Виш	Vis=T
41	Комари	Komari=T
41	Гемир	Gemir=T
41	Венгрия	Magyarország=T
41	Бош	Bos=T
40	Копошвар	Koposvar=T
40	Бистрица	Bisztrica=T
40	Берегсаз	Beregszaz=T
39	Сиксо	Szikszo=T
39	Самош	Szamos=T
38	Дунафельдвар	Dunafelydvar=T
38	Боршонь	Borsony=T
37	ЧСР	CsSzR=T
37	Сотмарской	Szotmarszkoj=T
37	Кошица	Kosica=T
37	Комарово	Komarovo=T
37	Зоно	Zono=T
37	Богор	Bogor=T
37	Берегсас	Beregszasz=T
37	Бекет	Beket=T
37	Бейнеш	Bénes=T
36	Трейскауне	Trészkaune=T
36	Темешвар	Temesvar=T
36	Силач	Szilacs=T
36	Сигетвар	Szigetvar=T
36	Печь	Pecsy=T
36	Буковина	Bukovina=T
35	Хонду	Hondu=T
35	Сомбор	Szombor=T
35	Силай	Szilaj=T
35	Зак.	Zak.=T
35	Вестрин	Vesztrin=T
35	Вашвар	Vasvar=T
35	Берегова	Beregova=T
35	Бекош	Bekos=T
34	Шомоч	Somocs=T
34	Токай	Tokaj=T
34	Маромурош	Maromuros=T
34	Колотвар	Kolotvar=T
34	Дер.	Gyer.=T
34	Вошвар	Vosvar=T
33	Потань	Potany=T
33	Паркань	Parkany=T
33	Могач	Mogacs=T
33	Камаро	Kamaro=T
33	Золь	Zoly=T
33	Дольно	Dolyno=T
33	вер	ver=T
32	Чопрон	Csopron=T
32	Томаши	Tomasi=T
32	Только	Tolyko=T
32	СССР	SzSzSzR=T
32	Обонь	Obony=T
32	Надьканижа	Nagykanizsa=T
32	Гонду	Gondu=T
32	Братиславы	Bratiszlavi=T
32	Борша	Borsa=T
32	Богбодрок	Bogbodrok=T
32	Биго	Bigo=T
31	Шомой	Somoj=T
31	Чонар	Csonar=T
31	Чек	Csek=T
31	Фир	Fir=T
31	Фегор	Fegor=T
31	Станисл.	Sztaniszl.=T
31	Соболья	Szobolyja=T
31	Синадь	Szinagy=T
31	Муриш	Muris=T
31	Кишвардо	Kisvardo=T
31	Земплик	Zemplik=T
31	Венгер	Venger=T
30	УССР	USzSzR=T
30	Секейудваргей	Szekéudvargé=T
30	Салаж	Szalazs=T
30	Комара	Komara=T
30	Коломыя	Kolomija=T
30	Земили	Zemili=T
30	Галанта	Galanta=T
30	Будо	Budo=T
29	Эрдель	Ergyely=T
29	Элек	Elek=T
29	Сотмара	Szotmara=T
29	Сентеш	Szentes=T
29	Зона	Zona=T
29	Золи	Zoli=T
29	Дунай	Dunaj=T
29	Гунидора	Gunidora=T
29	Вали	Vali=T
29	Берлин	Berlin=T
29	Бач-бодрок	Bacs-bodrok=T
28	Черно	Cserno=T
28	Фекир	Fekir=T
28	Уюга	Uyuga=T
28	Толнок	Tolnok=T
28	Сотман	Szotman=T
28	Силат	Szilat=T
28	Пигор	Pigor=T
28	Нодь	Nogy=T
28	Марморуш	Marmorus=T
28	Мако	Mako=T
28	Косторное	Kosztornoe=T
28	Коморно	Komorno=T
28	Кишкюкюле	Kiskyukyule=T
28	Имер	Imer=T
28	Золовар	Zolovar=T
28	Абаун	Abaun=T
27	Шомош	Somos=T
27	Шапром	Saprom=T
27	Шапро	Sapro=T
27	Шамоди	Samodi=T
27	Станислов	Sztaniszlov=T
27	Сало	Szalo=T
27	Саболья	Szabolyja=T
27	Пештвар	Pestvar=T
27	Пент	Pent=T
27	Папо	Papo=T
27	Лешт	Lest=T
27	Зило	Zilo=T
27	Земблен	Zemblen=T
27	Домбовар	Dombovar=T
27	Дердю	Gyergyu=T
27	Девечер	Gyevecser=T
27	Гевет	Gevet=T
27	Береговского	Beregovszkogo=T
27	Барановичи	Baranovicsi=T
27	Абаци	Abaci=T
26	Яснодь	Jásznogy=T
26	Чонау	Csonau=T
26	Фогер	Foger=T
26	Удворгейм	Udvorgém=T
26	Тычу	Ticsu=T
26	Тата	Tata=T
26	Самбор	Szambor=T
26	Саболя	Szabolja=T
26	Сабог	Szabog=T
26	Подкарп. Русь	Podkarp._Ruszy=T
26	Обоут	Obout=T
26	Мароштарда	Marostarda=T
26	Курск.	Kurszk.=T
26	Диер	Dier=T
26	Вор	Vor=T
26	Боя	Boja=T
26	Борно	Borno=T
26	Бейкет	Béket=T
26	Асод	Aszod=T
25	Шомон	Somon=T
25	Харомсен	Haromszen=T
25	Тото	Toto=T
25	Станиславск.	Sztaniszlavszk.=T
25	Сот-Мари	Szot-Mari=T
25	Сокмор	Szokmor=T
25	Сатмар-Ниметы	Szatmar-Nimeti=T
25	Рахов	Rahov=T
25	Пештской	Pestszkoj=T
25	Новрад	Novrad=T
25	Мукачева	Mukacseva=T
25	Морошторд	Morostord=T
25	Ковель	Kovely=T
25	Земпин	Zempin=T
25	Геммер	Gemmer=T
25	Бочбодро	Bocsbodro=T
25	Береговск	Beregovszk=T
25	Балатон	Balaton=T
25	Аба	Aba=T
24	Ужгородского	Uzsgorodszkogo=T
24	Уж	Uzs=T
24	Тячево	Tyacsevo=T
24	Томаш	Tomas=T
24	Тольто	Tolyto=T
24	Тольномед	Tolynomed=T
24	Сорваш	Szorvas=T
24	Собош	Szobos=T
24	Соболя	Szobolja=T
24	Соболы	Szoboli=T
24	Петр	Petr=T
24	Острогорска	Osztrogorszka=T
24	Ободи	Obodi=T
24	Нодьварод	Nogyvarod=T
24	Морштордо	Morstordo=T
24	Комарио	Komario=T
24	Ганду	Gandu=T
24	Весирим	Veszirim=T
