2	Сант Палтон	Sant_Palton=T	Sankt Pölten
2	Сантольшен	Santolschen=T	
2	Сантольтен	Szantolyten=T	
2	Сантолтен	Santolten=T	
2	Сант Николай	Szant_Nikolaj=T	Sankt Nikola;Szentmiklós
2	Сант Мартукати	Szant_Martukati=T	Szentmártonkáta
2	Сантлоренц	Szantlorenc=T	Szentlőrinc
2	Сантлирец	Szantlirec=T	Szentlőrinc
2	Сант-Ласло	Szant-Laszlo=T	Szentlászló
2	Сант Ласло	Szant_Laszlo=T	Szentlászló
2	Санткольтен	Santkolten=T	Sankt Pölten
2	Сант-Иштван	Szant-Istvan=T	Szentistván
2	Сантиельтен	Santielten=T	Sankt Pölten
2	Сантиглитен	Santigliten=T	
2	Сант-Иван-Лаворт Фолво	Szant-Ivan-Lavort_Folvo=T	Szentivánlaborfalva
2	Сантельпен	Santelpen=T	
2	Сантбольтен	Santbolten=T	Sankt Pölten
2	Сант-Андре	Szant-Andre=T	Szentandrás;Sankt Andrä
2	Сант	Sant=T	
2	Сан-Пюльтен	Szan-Pyulyten=T	Sankt Pölten
2	Санпуртен	Szanpurten=T	Sankt Pölten
2	Санполтен	Sanpolten=T	Sankt Pölten
2	Санполта	Sanpolta=T	Sankt Pölten
2	Сан-Пёльтен	Szan-Polyten=T	Sankt Pölten
2	Санпёлтен	Szanpolten=T	Sankt Pölten
2	Санпертен	Sanperten=T	Sankt Pölten
2	Санпентель	Sanpentel=T	Sankt Pölten
2	Санпентел	Sanpentel=T	Sankt Pölten
2	Санпельшен	Szanpelysen=T	Sankt Pölten
2	Санпельшен	Sanpelschen=T	Sankt Pölten
2	Сан-Пельтон	San-Pelton=T	Sankt Pölten
2	Санпельтон	Sanpelton=T	Sankt Pölten
2	Санпельтел	Sanpeltel=T	Sankt Pölten
2	Санпельтек	Szanpelytek=T	Sankt Pölten
2	Санпельте	Szanpelyte=T	Sankt Pölten
2	Санпельжен	Sanpelschen=T	Sankt Pölten
2	Санпельден	Sanpelden=T	Sankt Pölten
2	Сан-Пелтен	Szan-Pelten=T	Sankt Pölten
2	Сан-Пелтен	San-Pelten=T	Sankt Pölten
2	Сан-Пелотен	San-Peloten=T	Sankt Pölten
2	Саннезбен	Szannezben=T	
2	Санкт-флорьян	Szankt-floryjan=T	Sankt Florian
2	Санкт-Флориян	Sankt-Florian=T	Sankt Florian
2	Санктфлория	Szanktflorija=T	Sankt Florian
2	Санктфиф	Sanktfif=T	
2	Санктпультен	Sanktpulten=T	Sankt Pölten
2	Санкт-Полтен	Sankt-Polten=T	Sankt Pölten
2	Санкт Полтен	Sankt_Polten=T	Sankt Pölten
2	Санктполтен	Sanktpolten=T	Sankt Pölten
2	Санкт-Пильтен	Sankt-Pilten=T	Sankt Pölten
2	Санктпетер	Szanktpeter=T	
2	Санкт-Петен	Sankt-Peten=T	
2	Санктпельшен	Szanktpelysen=T	Sankt Pölten
2	Санкт-Пельтен	Szankt-Pelyten=T	Sankt Pölten
2	Санкт Пельтен	Szankt_Pelyten=T	Sankt Pölten
2	Санктпельтек	Sanktpeltek=T	Sankt Pölten
2	Санктпельте	Sanktpelte=T	Sankt Pölten
2	Санктпельта	Szanktpelyta=T	Sankt Pölten
2	Санктпельбен	Sanktpelben=T	Sankt Pölten
2	Санкт-Пелтен	Sankt-Pelten=T	Sankt Pölten
2	Санкторельтен	Sanktorelten=T	
2	Санктольтен	Szanktolyten=T	Sankt Pölten
2	Санкт-Андрей	Sankt-Andrei=T	Szentandrás;Sankt Andrä
2	Санкт-Андре	Sankt-Andre=T	Szentandrás;Sankt Andrä
2	Санкт Андре	Sankt_Andre=T	Szentandrás;Sankt Andrä
2	Санкпольтен	Sankpolten=T	Sankt Pölten
2	Санкпетер	Szankpeter=T	
2	Санк-Пелтен	Sank-Pelten=T	Sankt Pölten
2	Санкотолин	Szankotolin=T	Szentkatalin
